                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6979,                0.42541,                      1,                 1.5401,             0.00019992,             0.00019992,             0.00019992
                      2,                 1.3579,                0.58564,                      1,                 1.3849,             0.00038683,             0.00038683,             0.00038683
                      3,                 1.1418,                0.67956,                      1,                 1.2947,             0.00055325,             0.00055325,             0.00055325
                      4,                 0.9587,                0.72928,                      1,                 1.2293,             0.00060797,             0.00060797,             0.00060797
                      5,                0.88638,                0.74033,                      1,                 1.2018,             0.00060797,             0.00060797,             0.00060797
                      6,                0.72335,                0.70166,                      1,                 1.1892,             0.00057263,             0.00057263,             0.00057263
                      7,                0.70518,                0.70166,                      1,                 1.1847,             0.00053728,             0.00053728,             0.00053728
                      8,                0.66071,                0.71823,                      1,                 1.1897,             0.00050194,             0.00050194,             0.00050194
                      9,                0.64506,                0.81215,                      1,                 1.1353,              0.0004666,              0.0004666,              0.0004666
                     10,                0.67004,                0.80663,                      1,                 1.1194,             0.00043126,             0.00043126,             0.00043126
                     11,                0.57547,                0.82873,                      1,                 1.1096,             0.00039591,             0.00039591,             0.00039591
                     12,                0.53737,                0.85083,                      1,                 1.1012,             0.00036057,             0.00036057,             0.00036057
                     13,                0.50429,                0.85635,                      1,                 1.0802,             0.00032523,             0.00032523,             0.00032523
                     14,                0.49955,                0.86188,                      1,                  1.081,             0.00028988,             0.00028988,             0.00028988
                     15,                0.46851,                 0.8453,                      1,                  1.095,             0.00025454,             0.00025454,             0.00025454
                     16,                0.53983,                0.81768,                      1,                  1.105,              0.0002192,              0.0002192,              0.0002192
                     17,                0.45639,                0.85635,                      1,                 1.0721,             0.00018385,             0.00018385,             0.00018385
                     18,                0.50796,                0.85083,                      1,                 1.0777,             0.00014851,             0.00014851,             0.00014851
                     19,                0.47365,                 0.8674,                      1,                 1.0672,             0.00011317,             0.00011317,             0.00011317
                     20,                0.46069,                0.87293,                      1,                 1.0682,             7.7826e-05,             7.7826e-05,             7.7826e-05
