                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6439,                0.23585,                      1,                 1.5793,              0.0001071,              0.0001071,              0.0001071
                      2,                 1.5683,                0.42453,                      1,                  1.512,             0.00021038,             0.00021038,             0.00021038
                      3,                 1.3617,                0.66038,                      1,                 1.4055,             0.00030236,             0.00030236,             0.00030236
                      4,                 1.1829,                0.74528,                      1,                 1.3271,             0.00038302,             0.00038302,             0.00038302
                      5,                 1.0566,                0.76415,                      1,                 1.2507,             0.00045238,             0.00045238,             0.00045238
                      6,                0.96343,                0.78302,                      1,                 1.2249,             0.00051042,             0.00051042,             0.00051042
                      7,                0.87055,                0.81132,                      1,                  1.149,             0.00050194,             0.00050194,             0.00050194
                      8,                0.78435,                0.86792,                      1,                 1.1203,             0.00050194,             0.00050194,             0.00050194
                      9,                0.63672,                0.83962,                      1,                 1.0931,              0.0004666,              0.0004666,              0.0004666
                     10,                0.71377,                0.83019,                      1,                 1.1059,             0.00043126,             0.00043126,             0.00043126
                     11,                0.77038,                0.78302,                      1,                  1.133,             0.00039591,             0.00039591,             0.00039591
                     12,                  0.637,                0.81132,                      1,                 1.0801,             0.00036057,             0.00036057,             0.00036057
                     13,                0.55041,                0.83962,                      1,                 1.0863,             0.00032523,             0.00032523,             0.00032523
                     14,                0.58901,                0.87736,                      1,                 1.0541,             0.00028988,             0.00028988,             0.00028988
                     15,                0.44738,                0.89623,                      1,                  1.028,             0.00025454,             0.00025454,             0.00025454
                     16,                0.54061,                0.88679,                      1,                 1.0306,              0.0002192,              0.0002192,              0.0002192
                     17,                0.54121,                0.88679,                      1,                 1.0408,             0.00018385,             0.00018385,             0.00018385
                     18,                0.53342,                0.89623,                      1,                 1.0304,             0.00014851,             0.00014851,             0.00014851
                     19,                0.53026,                0.88679,                      1,                 1.0227,             0.00011317,             0.00011317,             0.00011317
                     20,                 0.5421,                0.88679,                      1,                 1.0271,             7.7826e-05,             7.7826e-05,             7.7826e-05
