                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2671,                0.75862,                      1,                  1.128,             0.00023416,             0.00023416,             0.00023416
                      2,                0.73361,                0.94483,                      1,                 0.8975,             0.00044879,             0.00044879,             0.00044879
                      3,                0.41642,                0.95862,                      1,                0.81642,             0.00063986,             0.00063986,             0.00063986
                      4,                0.35599,                0.93103,                      1,                0.81969,             0.00060797,             0.00060797,             0.00060797
                      5,                0.27588,                0.95862,                      1,                0.79773,             0.00060797,             0.00060797,             0.00060797
                      6,                 0.2644,                0.97241,                      1,                0.78159,             0.00057263,             0.00057263,             0.00057263
                      7,                0.25575,                0.97931,                      1,                0.77756,             0.00053728,             0.00053728,             0.00053728
                      8,                0.21052,                0.97241,                      1,                0.78898,             0.00050194,             0.00050194,             0.00050194
                      9,                0.22679,                0.97241,                      1,                0.77836,              0.0004666,              0.0004666,              0.0004666
                     10,                 0.2357,                0.97931,                      1,                0.77465,             0.00043126,             0.00043126,             0.00043126
                     11,                0.19601,                0.96552,                      1,                0.77934,             0.00039591,             0.00039591,             0.00039591
                     12,                0.20558,                0.96552,                      1,                0.78911,             0.00036057,             0.00036057,             0.00036057
                     13,                0.16568,                0.97241,                      1,                0.78079,             0.00032523,             0.00032523,             0.00032523
                     14,                 0.1583,                0.97931,                      1,                 0.7773,             0.00028988,             0.00028988,             0.00028988
                     15,                0.15302,                0.97241,                      1,                0.77757,             0.00025454,             0.00025454,             0.00025454
                     16,                0.19826,                0.96552,                      1,                0.77768,              0.0002192,              0.0002192,              0.0002192
                     17,                0.13538,                0.97241,                      1,                0.77517,             0.00018385,             0.00018385,             0.00018385
                     18,                0.12361,                0.97931,                      1,                0.77742,             0.00014851,             0.00014851,             0.00014851
                     19,                0.12507,                0.96552,                      1,                0.78279,             0.00011317,             0.00011317,             0.00011317
                     20,                0.12186,                0.96552,                      1,                0.77649,             7.7826e-05,             7.7826e-05,             7.7826e-05
